Id,SalePrice
1461,120681.12667881722
1462,159204.8906072903
1463,186522.94307570902
1464,195720.65586222144
1465,191830.70834429603
1466,173227.14447928467
1467,176864.73880030934
1468,163268.30920709483
1469,184460.3919433402
1470,122776.67790287317
1471,195078.39338346943
1472,95451.77735262085
1473,95644.08634384615
1474,147062.75192845782
1475,112527.81185890421
1476,380277.0004924197
1477,249018.45188127563
1478,283576.3881533742
1479,282886.8898085659
1480,501066.2235136114
1481,315873.9063384462
1482,206020.0330988019
1483,178744.97639350576
1484,164424.33868008386
1485,183449.9815591773
1486,195884.19917509455
1487,340693.1218197938
1488,228003.15785203723
1489,199423.87860009223
1490,236993.62912285025
1491,194885.64162854856
1492,93043.25263015492
1493,180047.42670029882
1494,295450.43926112045
1495,289067.2323853561
1496,238976.95758938088
1497,181312.92342596146
1498,164287.42623081536
1499,157919.23315977457
1500,155606.91339100842
1501,175807.96870096796
1502,143729.7119841419
1503,291149.92326791445
1504,237254.84056499426
1505,225083.46989703225
1506,186800.23317859563
1507,253412.39460715902
1508,198702.78676944366
1509,160269.12742354383
1510,145577.9420806388
1511,151838.15088216218
1512,174533.332907421
1513,141623.39514712582
1514,158014.65608156068
1515,198589.15754332216
1516,151108.93952622777
1517,164566.63175183168
1518,130869.53756923179
1519,219882.0394479862
1520,130593.44169617307
1521,135027.2896347468
1522,174022.824952127
1523,112087.84446230662
1524,125051.53166605449
1525,123035.5538331397
1526,111818.78119526623
1527,101780.3696089781
1528,132840.9754949863
1529,150968.39232747504
1530,173908.2327475872
1531,106073.50082589603
1532,95401.53747524439
1533,148380.4085288989
1534,125521.7663074921
1535,151654.08262234926
1536,106992.3958364831
1537,60331.494216807485
1538,149967.39799954052
1539,190515.83446837065
1540,95346.96524938307
1541,142297.6019552707
1542,141776.2272619817
1543,202065.64768651675
1544,82551.65514223251
1545,108864.2145154548
1546,132352.79442382668
1547,136500.69817181554
1548,138148.51485591172
1549,114948.24502056198
1550,135827.82025897392
1551,108908.94815539627
1552,137070.25451214553
1553,153387.96711936963
1554,112720.20021802236
1555,164512.78194171598
1556,82856.37928884731
1557,108984.49829977026
1558,97566.21485050635
1559,70228.6036708233
1560,132053.05457488622
1561,131918.31349973293
1562,128845.96719949569
1563,119402.8539634249
1564,162398.4029869637
1565,147204.11942979187
1566,235678.3791756891
1567,75894.17832557499
1568,234715.37387467385
1569,132987.34218295824
1570,134299.0906553488
1571,119817.87106312433
1572,146983.11742370305
1573,244909.98406677396
1574,115376.68901259548
1575,220307.3185490888
1576,244703.10735524664
1577,187368.56944945324
1578,144268.88586524109
1579,147584.62269234122
1580,193646.88466708182
1581,152401.27355016558
1582,124110.86536769729
1583,305173.968648066
1584,222862.0217892856
1585,139731.57114554907
1586,67918.74028046572
1587,99709.39293851497
1588,149238.81844497193
1589,101143.03239222082
1590,134859.37214567696
1591,94394.00371162454
1592,120171.14080785851
1593,124215.61491608305
1594,132685.00287862797
1595,106523.96840188977
1596,234676.76100220278
1597,192031.83866202703
1598,214141.37792773035
1599,165070.3519218305
1600,164321.6775534008
1601,65463.25914206382
1602,112177.17737378758
1603,81773.40096598954
1604,261423.28228749003
1605,238921.53286742355
1606,167982.10026755073
1607,167494.55294330954
1608,216449.31677633108
1609,186039.1202808137
1610,150179.68749112825
1611,138491.3708517985
1612,170975.8515244498
1613,164883.78647672854
1614,123758.77647641752
1615,88723.2481162182
1616,74851.5359970796
1617,91777.71417846938
1618,125494.71199347588
1619,139989.5538838102
1620,150679.79067905957
1621,139140.56286109798
1622,139162.44625136707
1623,259991.85795775265
1624,214825.43186698348
1625,118938.29649007716
1626,163796.75421416588
1627,193977.40415657332
1628,271313.8284882925
1629,177506.39875833478
1630,366589.3435688996
1631,221544.48283798306
1632,239336.29169407778
1633,167715.54787383025
1634,185586.02024000982
1635,177290.51536550172
1636,153259.4475205714
1637,204895.50940738674
1638,182053.13346144682
1639,183653.9853696382
1640,256713.37456529433
1641,177563.93573509814
1642,234509.29862185742
1643,217116.3106971681
1644,228976.08141209758
1645,201047.56632720376
1646,157767.56781112705
1647,155377.29437053803
1648,130113.35926338533
1649,139064.81432357413
1650,113907.06808005171
1651,120975.16015070828
1652,96591.46496303879
1653,97642.86928988081
1654,144899.77941582294
1655,139288.80251242447
1656,142646.53026680055
1657,147330.40080210968
1658,144162.65755735055
1659,118334.45759568567
1660,154768.76210450658
1661,464575.8051996769
1662,393628.457442508
1663,388930.8694021629
1664,486753.4788016868
1665,309321.4986145145
1666,323813.08656094805
